id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1363867065584533091,A piece of mind,650062372,Mataiya,,THIRTEENTH WARD,42.66891,-73.79096,Entire home/apt,188,1,6,2025-07-20,1.42,1,353,6,
1365428503448527322,Downtown Albany Large 2BR | Free Parking,664328482,Oluyinka,,SECOND WARD,42.6436654,-73.7536006,Entire home/apt,94,2,35,2025-08-19,5.59,1,364,35,
1366933239765507591,Vacation Home in Albany,680411288,Stephanie,,EIGHTH WARD,42.64533014600323,-73.789131045637,Entire home/apt,258,2,27,2025-08-29,4.68,1,324,27,
1369127908322228929,Capital Comfort Stay,584109093,Cecilia,,FOURTH WARD,42.66159372265361,-73.75439956511829,Entire home/apt,86,1,25,2025-08-30,4.31,1,339,25,
1369768924474303403,Near Hospitals: Home w/ Yard in Albany!,121680792,Evolve,,FIRST WARD,42.63962651941938,-73.7733080081594,Entire home/apt,,2,0,,,6,364,0,
1371626040166892504,Central cozy quiet 4 bedroom w/King bed,20536619,Emily,,TENTH WARD,42.66315402479468,-73.78910123743358,Entire home/apt,301,14,1,2025-08-04,0.88,13,39,1,
1371829070623409671,"Walk to Albany Med, MVP Arena, Washington Park",265861488,Vander,,SIXTH WARD,42.65040602684423,-73.76433185078635,Entire home/apt,86,1,40,2025-08-31,7.79,1,299,40,
1374747174653747946,"PrivateDriveway+UAlbany2mi+600MBWiFi+120""Projector",193923901,Liza,,FOURTEENTH WARD,42.66993682830468,-73.80820494973753,Entire home/apt,314,3,8,2025-08-31,4.90,1,343,8,
1375007693720508441,A peaceful home away from home,385963105,Samantha,,FOURTEENTH WARD,42.66598411229728,-73.81880097091198,Entire home/apt,128,7,2,2025-06-30,0.57,1,88,2,
1376989617162173438,Cozy Sunshine,233515764,Etem,,SEVENTH WARD,42.64764408604364,-73.7715925383664,Entire home/apt,73,1,4,2025-08-15,0.75,6,241,4,
1377446918025263146,"Woodlands room, private queen, walk to AMC",20536619,Emily,,TENTH WARD,42.66148231183373,-73.78761856260732,Private room,70,28,2,2025-08-22,1.58,13,142,2,
1377471842094741150,"Crimson private queen room, walk to Albany Med",20536619,Emily,,TENTH WARD,42.66310642184764,-73.78716159656459,Private room,65,28,0,,,13,160,0,
